,1,2,3,4,5
0,0.8,1.0,1.4,2.2,2.4
1,0.6,0.8,1.4,2.0,2.4
2,0.6,1.0,1.4,2.2,2.4
3,0.6,0.8,1.2,2.4,2.6
4,0.6,0.8,1.4,2.0,2.4
5,0.6,1.0,1.4,2.0,2.4
6,0.6,0.8,1.4,2.0,2.2
7,1.0,1.4,1.6,2.2,2.6
8,1.0,1.4,1.8,2.4,2.6
9,0.6,1.0,1.6,1.8,2.2
10,0.4,0.8,1.2,1.8,2.6
11,0.2,0.8,1.2,2.4,2.6
12,0.4,1.4,1.8,2.4,2.6
13,0.4,1.2,1.8,2.2,2.6
14,0.4,1.2,1.8,2.4,2.6
15,0.4,0.8,1.8,2.2,2.4
16,0.4,1.0,1.8,2.2,2.6
17,0.4,1.0,1.8,2.2,2.6
18,0.4,1.0,1.8,2.0,2.6
19,1.0,1.6,1.8,2.2,2.6
20,0.6,1.0,1.8,2.0,2.4
21,0.8,1.0,1.8,2.2,2.4
22,0.6,0.8,1.6,2.2,2.6
23,0.6,1.0,1.6,2.2,2.4
24,0.8,1.4,1.6,2.2,2.6
25,0.6,1.6,1.8,2.2,2.6
26,0.2,1.2,1.6,2.2,2.6
27,0.4,1.2,1.8,2.2,2.6
28,0.4,0.8,1.6,2.2,2.6
29,0.4,0.8,1.8,2.4,2.6
30,0.8,1.2,2.0,2.4,2.6
